subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,tenure_days
S-37e3ad,A-b30291,2024-04-25,,Basic,5,95,1140,False,False,False,False,monthly,True,251
S-b17d04,A-e19ff6,2024-03-06,,Pro,8,392,4704,False,False,False,False,monthly,True,301
S-c27134,A-dec005,2024-03-31,,Pro,21,0,0,True,False,False,False,monthly,True,276
S-3bd427,A-2e3bad,2024-12-04,2024-12-27,Basic,61,1159,13908,False,False,False,True,monthly,True,23
S-82989b,A-f5641b,2024-11-30,,Basic,31,589,7068,False,False,False,False,monthly,True,32
S-082b15,A-aa9511,2024-02-09,,Enterprise,97,19303,231636,False,False,False,False,annual,True,327
S-434140,A-075038,2024-02-25,,Pro,17,833,9996,False,False,False,False,annual,True,311
S-c07ede,A-cea1f0,2024-10-07,,Pro,8,392,4704,False,False,False,False,annual,False,86
S-287914,A-a1b80b,2024-08-15,,Pro,16,784,9408,False,False,False,False,annual,True,139
S-b3bd43,A-b2225d,2024-11-03,,Pro,50,2450,29400,False,False,False,False,monthly,False,59
S-4c82da,A-b9eed8,2024-08-01,,Pro,11,539,6468,False,False,False,False,monthly,False,153
S-c75159,A-bcf87c,2024-08-22,2024-09-28,Enterprise,31,6169,74028,False,False,False,True,monthly,True,37
S-b5643b,A-9f9299,2024-06-11,,Enterprise,28,5572,66864,False,False,False,False,annual,False,204
S-49a9aa,A-10b8f2,2023-06-16,,Basic,51,969,11628,False,False,False,False,annual,True,565
S-2877e6,A-95b24a,2024-06-28,,Enterprise,38,0,0,True,True,True,False,monthly,True,187
S-8c10c1,A-0651a4,2024-12-25,,Enterprise,65,12935,155220,False,False,False,False,annual,True,7
S-d7d398,A-fb186e,2024-12-28,,Enterprise,29,0,0,True,False,False,False,annual,True,4
S-ddad91,A-40906c,2024-06-21,,Enterprise,92,0,0,True,False,False,False,annual,False,194
S-6762fa,A-40a557,2024-02-12,,Enterprise,16,3184,38208,False,False,False,False,annual,True,324
S-bb1cf1,A-3a5ad8,2024-09-07,,Enterprise,9,0,0,True,True,False,False,monthly,False,116
S-a805a5,A-2789e3,2024-09-18,,Basic,33,627,7524,False,False,False,False,monthly,True,105
S-da0a69,A-49b828,2023-05-11,,Pro,6,294,3528,False,False,False,False,monthly,True,601
S-59c5d7,A-c16b88,2024-10-19,,Basic,35,665,7980,False,True,False,False,monthly,True,74
S-d3faae,A-5c9849,2024-11-12,,Basic,19,361,4332,False,False,False,False,monthly,True,50
S-73a4e4,A-993085,2024-09-09,,Pro,31,1519,18228,False,False,False,False,monthly,True,114
S-35c8a3,A-e4144b,2024-12-22,,Enterprise,41,8159,97908,False,False,False,False,annual,True,10
S-99fbf7,A-7dacce,2024-09-10,,Enterprise,12,2388,28656,False,False,False,False,annual,True,113
S-e97b9f,A-a0ca4e,2024-03-16,,Enterprise,12,2388,28656,False,False,False,False,annual,True,291
S-763d33,A-ef84cf,2024-07-25,,Basic,23,437,5244,False,False,True,False,annual,False,160
S-323782,A-7920cc,2024-02-22,,Basic,39,741,8892,False,False,False,False,monthly,True,314
S-1cff18,A-2789e3,2024-10-03,,Basic,11,209,2508,False,False,False,False,monthly,True,90
S-ad39ef,A-e40f45,2024-08-25,,Pro,21,0,0,True,True,False,False,annual,True,129
S-bf806d,A-7c5768,2024-09-21,,Basic,62,1178,14136,False,False,False,False,annual,True,102
S-36f6ec,A-ccb686,2024-08-16,,Pro,21,1029,12348,False,True,False,False,monthly,True,138
S-aff55c,A-bb2f49,2024-01-14,2024-12-29,Pro,8,0,0,True,False,False,True,monthly,True,350
S-b9fc6c,A-2ebb4b,2023-06-16,,Basic,41,779,9348,False,False,False,False,annual,True,565
S-7f8cd8,A-53f4e3,2024-09-18,2024-11-17,Enterprise,20,3980,47760,False,False,False,True,monthly,True,60
S-e912e6,A-a8d89d,2023-12-12,,Enterprise,78,15522,186264,False,False,False,False,monthly,True,386
S-fef85a,A-7f8241,2024-08-06,,Pro,34,1666,19992,False,False,False,False,annual,True,148
S-36d5c9,A-54ecc2,2023-09-16,,Enterprise,11,2189,26268,False,False,False,False,monthly,True,473
S-b9ff15,A-95b24a,2024-01-08,,Enterprise,43,8557,102684,False,False,False,False,annual,False,359
S-10bd09,A-bbc346,2024-09-03,,Basic,50,950,11400,False,False,False,False,annual,True,120
S-12bfc8,A-31ab9a,2024-12-06,,Enterprise,29,5771,69252,False,False,False,False,monthly,False,26
S-f5c472,A-faa28c,2024-07-09,,Basic,48,912,10944,False,False,False,False,monthly,True,176
S-dbc1ca,A-8adedc,2024-04-24,,Enterprise,14,2786,33432,False,False,False,False,annual,True,252
S-dc6dfd,A-e08cd3,2024-09-30,,Pro,67,3283,39396,False,False,False,False,monthly,True,93
S-b2d472,A-bcf87c,2024-08-27,2024-12-11,Enterprise,10,1990,23880,False,False,False,True,annual,False,106
S-9dfce0,A-e6afc1,2024-08-30,,Pro,2,98,1176,False,False,False,False,annual,True,124
S-9cb6a7,A-7f29a7,2024-12-21,,Basic,41,779,9348,False,False,False,False,monthly,True,11
S-dabcd2,A-3ce5b8,2024-09-22,,Pro,28,0,0,True,False,False,False,monthly,True,101
S-8c3cc8,A-b2225d,2024-10-17,,Basic,47,0,0,True,False,False,False,monthly,True,76
S-2923fc,A-fa3095,2024-07-08,,Enterprise,70,13930,167160,False,False,False,False,annual,True,177
S-f0a2e5,A-55f257,2024-06-05,,Basic,23,0,0,True,False,False,False,annual,True,210
S-025bea,A-9affe6,2024-06-25,,Pro,17,833,9996,False,True,False,False,monthly,True,190
S-0e499f,A-296d7c,2024-08-17,,Pro,16,784,9408,False,False,False,False,annual,False,137
S-0267b7,A-65a46c,2024-10-17,2024-12-04,Enterprise,13,0,0,True,False,False,True,monthly,True,48
S-b5b9a5,A-812c5b,2024-07-25,,Basic,55,1045,12540,False,False,False,False,monthly,True,160
S-8e45ba,A-7f8241,2023-12-13,,Basic,34,646,7752,False,False,False,False,annual,False,385
S-37ed34,A-d4ac0e,2024-07-07,,Enterprise,20,3980,47760,False,False,False,False,annual,True,178
S-65dbf3,A-17939a,2024-12-28,,Basic,36,684,8208,False,False,False,False,monthly,True,4
S-ce5450,A-0a282f,2024-12-25,2024-12-28,Pro,8,0,0,True,False,False,True,annual,True,3
S-6c969d,A-855a48,2024-05-08,,Basic,14,266,3192,False,False,False,False,monthly,False,238
S-522aef,A-f3ff05,2024-08-22,,Pro,4,196,2352,False,False,False,False,annual,True,132
S-82db05,A-417d2f,2024-12-09,,Pro,26,1274,15288,False,False,False,False,monthly,True,23
S-162596,A-462d45,2024-02-29,,Pro,18,0,0,True,False,False,False,monthly,True,307
S-f703bd,A-202b67,2024-09-04,,Pro,11,539,6468,False,False,False,False,monthly,True,119
S-a1d6ad,A-eafc6e,2024-09-01,,Pro,27,1323,15876,False,False,False,False,monthly,True,122
S-8b1fc1,A-309e54,2024-12-26,,Basic,15,0,0,True,False,False,False,monthly,True,6
S-09cdac,A-82861f,2024-07-31,2024-09-04,Basic,41,779,9348,False,False,False,True,annual,True,35
S-fa5301,A-ba6516,2024-03-14,,Pro,55,0,0,True,False,False,False,monthly,False,293
S-69937b,A-08e34e,2024-08-08,,Pro,14,686,8232,False,False,False,False,annual,False,146
S-f2537d,A-e43bf7,2024-01-24,,Pro,44,2156,25872,False,False,False,False,monthly,True,343
S-27f7b2,A-a1b80b,2024-04-03,,Basic,38,722,8664,False,False,False,False,annual,True,273
S-9c2b8e,A-443f6f,2024-12-26,,Basic,19,361,4332,False,True,False,False,annual,True,6
S-a4f26d,A-32728c,2023-05-21,,Pro,20,980,11760,False,False,False,False,monthly,True,591
S-0cb6ed,A-ac85cd,2024-11-09,2024-12-18,Pro,53,2597,31164,False,False,False,True,annual,True,39
S-367dee,A-e19ff6,2024-06-29,,Pro,1,49,588,False,False,False,False,annual,True,186
S-3b9ad8,A-6e08f3,2024-12-24,,Enterprise,28,5572,66864,False,False,False,False,monthly,False,8
S-c9f8c1,A-544d0a,2024-07-23,,Enterprise,5,995,11940,False,False,True,False,monthly,True,162
S-57cd05,A-8b0451,2024-10-26,,Basic,41,779,9348,False,False,False,False,annual,True,67
S-e505c1,A-8ae3fc,2024-09-17,,Pro,34,1666,19992,False,False,False,False,annual,True,106
S-121b4d,A-8ae3fc,2024-11-22,,Basic,9,171,2052,False,False,False,False,annual,True,40
S-72b4f2,A-4437e4,2024-02-06,,Pro,49,2401,28812,False,False,False,False,annual,True,330
S-c9b0cc,A-4d1e75,2024-10-11,,Enterprise,38,7562,90744,False,False,False,False,monthly,True,82
S-27c993,A-098560,2024-11-17,,Enterprise,4,796,9552,False,False,False,False,monthly,True,45
S-8b9889,A-ac9111,2024-08-18,,Pro,21,1029,12348,False,False,False,False,monthly,True,136
S-2214c6,A-3c1a3f,2024-10-07,,Pro,82,4018,48216,False,False,False,False,monthly,True,86
S-ce695e,A-cb6cc6,2024-05-25,,Enterprise,13,0,0,True,False,False,False,annual,False,221
S-066d80,A-9b9fe9,2024-08-17,,Pro,5,245,2940,False,False,False,False,monthly,True,137
S-228457,A-029f69,2024-05-24,,Enterprise,24,4776,57312,False,False,False,False,annual,True,222
S-e50612,A-c7e58b,2024-07-15,,Basic,13,247,2964,False,False,False,False,annual,False,170
S-64fba3,A-00bed1,2024-07-16,,Enterprise,28,5572,66864,False,False,False,False,annual,True,169
S-2372d2,A-cea1f0,2024-12-22,,Enterprise,21,4179,50148,False,False,False,False,annual,False,10
S-2661dc,A-c37cab,2024-08-07,,Pro,20,0,0,True,False,False,False,monthly,True,147
S-427275,A-4c38bc,2024-07-14,,Enterprise,36,7164,85968,False,False,False,False,annual,True,171
S-628729,A-157070,2024-10-05,,Enterprise,23,4577,54924,False,False,True,False,monthly,True,88
S-e260ff,A-bcf87c,2024-12-09,,Enterprise,21,4179,50148,False,False,False,False,annual,True,23
S-89c03a,A-8ae3fc,2024-09-20,,Pro,9,441,5292,False,False,False,False,monthly,True,103
S-86455a,A-1b9609,2023-12-01,,Pro,12,588,7056,False,False,False,False,monthly,True,397
S-3660bb,A-474ad4,2024-12-14,,Enterprise,10,0,0,True,False,False,False,monthly,False,18
S-6bf7d7,A-9bfc9f,2024-03-23,,Pro,53,2597,31164,False,False,True,False,annual,False,284
S-feccd8,A-812c5b,2024-12-22,,Enterprise,55,10945,131340,False,False,False,False,monthly,True,10
S-0e4b0c,A-39b19f,2023-02-28,2023-06-15,Pro,24,1176,14112,False,False,True,True,annual,True,107
S-0e0578,A-de58ca,2023-07-09,,Basic,15,285,3420,False,False,False,False,monthly,True,542
S-74538d,A-e60f9d,2024-11-13,,Pro,46,2254,27048,False,False,False,False,annual,True,49
S-c2a6cb,A-9affe6,2023-10-19,,Enterprise,7,1393,16716,False,True,False,False,annual,False,440
S-1bd2ec,A-e60f9d,2024-12-25,2024-12-28,Basic,38,722,8664,False,False,False,True,annual,True,3
S-3cc352,A-d27f50,2024-08-06,,Pro,44,2156,25872,False,False,False,False,monthly,True,148
S-124207,A-fdfc91,2023-08-31,,Basic,29,551,6612,False,False,False,False,annual,True,489
S-76e7d9,A-712f1c,2024-02-09,,Enterprise,44,8756,105072,False,False,False,False,monthly,True,327
S-44f453,A-19b2c8,2024-02-10,,Enterprise,20,3980,47760,False,False,False,False,monthly,True,326
S-03a97f,A-f51f16,2024-03-15,,Pro,60,2940,35280,False,False,False,False,annual,True,292
S-80c01c,A-d3c88e,2024-12-16,,Basic,16,304,3648,False,True,False,False,annual,True,16
S-666181,A-eb1312,2024-10-09,,Basic,71,1349,16188,False,False,False,False,annual,True,84
S-401496,A-68f37c,2023-08-13,2024-06-22,Enterprise,4,796,9552,False,True,False,True,monthly,True,314
S-ca0c98,A-fda07f,2024-11-28,,Pro,7,343,4116,False,False,False,False,monthly,True,34
S-017e33,A-f9cc74,2024-11-08,2024-11-25,Basic,53,1007,12084,False,False,False,True,monthly,True,17
S-183073,A-e7a1e2,2024-07-19,,Enterprise,14,2786,33432,False,False,False,False,monthly,True,166
S-22f503,A-7a0d69,2024-09-06,,Basic,6,114,1368,False,False,False,False,annual,True,117
S-7de1b7,A-4d1e75,2024-10-27,,Enterprise,20,3980,47760,False,False,False,False,annual,True,66
S-c7f564,A-902ef7,2024-11-23,,Pro,83,0,0,True,True,False,False,annual,True,39
S-ceffe9,A-89ee83,2024-11-23,,Enterprise,2,398,4776,False,False,False,False,monthly,True,39
S-9b2c95,A-e60f9d,2024-11-24,2024-12-05,Pro,29,0,0,True,False,False,True,annual,True,11
S-cf6ec1,A-d77f4c,2024-08-04,,Enterprise,22,4378,52536,False,True,False,False,monthly,False,150
S-a44d72,A-b30291,2024-06-12,,Pro,18,882,10584,False,False,False,False,monthly,True,203
S-0b0ffa,A-180abf,2024-01-17,2024-04-19,Basic,64,0,0,True,False,False,True,annual,True,93
S-02af5d,A-d82ef9,2024-08-07,,Enterprise,26,0,0,True,False,False,False,annual,True,147
S-d07c53,A-249769,2024-09-24,,Basic,21,399,4788,False,False,False,False,annual,True,99
S-c67b80,A-eb2fdc,2024-02-24,,Pro,31,1519,18228,False,False,False,False,monthly,False,312
S-5d68fb,A-5f2961,2024-12-02,,Pro,49,2401,28812,False,False,False,False,annual,True,30
S-fc9cc3,A-9b9fe9,2024-01-01,,Pro,24,1176,14112,False,False,False,False,annual,True,366
S-17f71d,A-e40f45,2024-05-15,,Pro,44,2156,25872,False,True,False,False,monthly,True,231
S-5895f0,A-bcf664,2023-10-05,,Basic,8,0,0,True,False,False,False,annual,True,454
S-b042d9,A-0e966d,2024-11-15,,Enterprise,11,2189,26268,False,False,False,False,annual,True,47
S-ffd1ee,A-f03140,2024-11-06,,Pro,27,0,0,True,False,False,False,annual,True,56
S-9c4bcd,A-a7bd4b,2024-05-14,,Pro,5,245,2940,False,True,False,False,monthly,True,232
S-4f91d0,A-7f8241,2024-10-12,,Basic,34,646,7752,False,False,False,False,monthly,False,81
S-672f1b,A-eafc6e,2023-08-08,,Pro,27,1323,15876,False,False,False,False,monthly,True,512
S-101201,A-d49cc5,2024-02-13,,Basic,50,950,11400,False,False,False,False,annual,True,323
S-eea643,A-54ecc2,2024-10-30,,Enterprise,28,5572,66864,False,False,False,False,monthly,True,63
S-5f9a67,A-6da850,2023-12-04,,Pro,5,245,2940,False,False,False,False,annual,True,394
S-327e7c,A-4e960a,2024-02-07,,Enterprise,17,0,0,True,False,False,False,annual,True,329
S-d97c5f,A-533452,2024-11-25,,Pro,101,4949,59388,False,False,False,False,monthly,True,37
S-029c20,A-f44180,2024-12-13,,Basic,10,0,0,True,False,False,False,annual,False,19
S-a74462,A-7c83a1,2024-05-14,,Pro,48,2352,28224,False,False,False,False,annual,True,232
S-02ec76,A-e60f9d,2024-09-17,,Pro,29,1421,17052,False,False,False,False,monthly,True,106
S-d1c9e3,A-075038,2024-01-09,,Basic,17,323,3876,False,False,False,False,annual,True,358
S-51d8db,A-cc1d8d,2024-12-30,,Enterprise,6,1194,14328,False,False,False,False,annual,True,2
S-c3c85e,A-271f46,2024-10-31,,Basic,38,722,8664,False,False,False,False,monthly,True,62
S-44a646,A-1e1b80,2023-12-26,,Basic,50,950,11400,False,False,False,False,annual,True,372
S-431c03,A-e4bf56,2024-12-02,2024-12-19,Enterprise,37,7363,88356,False,False,False,True,monthly,True,17
S-4f0027,A-ff79f2,2024-12-31,2024-12-31,Enterprise,19,3781,45372,False,False,False,True,annual,True,0
S-6c9ee1,A-6da850,2024-02-20,,Enterprise,23,0,0,True,False,False,False,monthly,True,316
S-396a84,A-5b4ebb,2024-10-23,2024-11-27,Basic,21,399,4788,False,False,False,True,monthly,False,35
S-6bea24,A-3f9cc0,2024-07-06,,Basic,22,0,0,True,False,False,False,monthly,True,179
S-259804,A-d4ac0e,2024-10-01,,Basic,28,532,6384,False,False,False,False,annual,True,92
S-33e40e,A-86cdb4,2024-10-10,2024-12-29,Enterprise,2,398,4776,False,False,False,True,annual,True,80
S-fbd522,A-310452,2024-12-28,,Pro,9,0,0,True,False,False,False,annual,False,4
S-bbafad,A-854864,2024-12-27,2024-12-30,Basic,20,380,4560,False,False,False,True,annual,True,3
S-3edc14,A-d82ef9,2024-10-04,,Pro,26,0,0,True,False,False,False,annual,True,89
S-11e29d,A-71615e,2024-10-13,,Basic,32,608,7296,False,False,False,False,monthly,True,80
S-1feff8,A-5fe118,2024-12-06,,Enterprise,39,7761,93132,False,False,False,False,annual,True,26
S-61e86c,A-39ddf4,2024-12-07,,Enterprise,40,7960,95520,False,False,False,False,annual,True,25
S-af41f0,A-e83938,2024-06-27,,Basic,2,38,456,False,False,False,False,annual,False,188
S-65ae02,A-671f31,2024-12-14,,Pro,59,2891,34692,False,False,False,False,annual,True,18
S-f7fccd,A-443b7c,2024-11-18,,Basic,6,0,0,True,True,False,False,annual,True,44
S-7904d3,A-d4e0d4,2024-11-30,2024-12-03,Enterprise,117,23283,279396,False,False,False,True,monthly,True,3
S-48a54e,A-b2225d,2024-10-29,,Basic,47,0,0,True,False,False,False,monthly,True,64
S-4a08bd,A-e08cd3,2024-10-11,,Pro,67,3283,39396,False,False,False,False,annual,False,82
S-faa8ec,A-2e4581,2024-12-09,,Basic,11,209,2508,False,False,False,False,monthly,True,23
S-8db104,A-4a267b,2024-10-18,,Pro,25,1225,14700,False,False,True,False,monthly,True,75
S-3c0121,A-7c83a1,2024-12-30,,Pro,24,1176,14112,False,False,False,False,monthly,True,2
S-13ca37,A-6843f2,2024-12-21,,Pro,21,0,0,True,False,True,False,monthly,True,11
S-163e64,A-dfbd31,2024-11-08,,Enterprise,62,12338,148056,False,False,False,False,monthly,True,54
S-4d1ba6,A-00cac8,2024-04-04,,Enterprise,9,0,0,True,False,False,False,annual,False,272
S-e98d6b,A-309e54,2024-12-31,,Basic,15,285,3420,False,False,False,False,annual,True,1
S-041624,A-6843f2,2024-12-12,,Enterprise,21,4179,50148,False,False,False,False,monthly,True,20
S-b78829,A-2e4581,2024-11-12,,Pro,20,980,11760,False,False,False,False,monthly,True,50
S-ca1c21,A-f92792,2024-12-02,,Basic,9,0,0,True,False,False,False,annual,False,30
S-e1de58,A-ce550d,2024-10-28,,Enterprise,35,6965,83580,False,True,False,False,annual,True,65
S-721fea,A-f6b2fb,2024-05-23,,Pro,23,1127,13524,False,False,True,False,monthly,True,223
S-eaac58,A-ff3c73,2023-04-08,,Basic,66,1254,15048,False,False,False,False,annual,True,634
S-1218fd,A-2d4502,2024-11-02,,Basic,14,266,3192,False,True,False,False,monthly,False,60
S-936732,A-2f6a32,2024-11-28,2024-12-06,Pro,19,931,11172,False,False,False,True,annual,True,8
S-c2f293,A-69b156,2024-12-10,2024-12-30,Basic,8,152,1824,False,False,False,True,monthly,False,20
S-fe3b71,A-44dc83,2024-09-24,,Enterprise,37,0,0,True,False,False,False,monthly,True,99
S-f5f5b3,A-89ee83,2024-12-26,2024-12-29,Basic,10,190,2280,False,False,False,True,annual,True,3
S-4afb53,A-40de06,2023-12-12,2024-12-29,Enterprise,28,5572,66864,False,False,False,True,monthly,True,383
S-851bbe,A-d77f4c,2024-04-22,,Enterprise,94,18706,224472,False,True,False,False,annual,True,254
S-dab0d5,A-cc1d8d,2024-12-14,,Basic,5,0,0,True,False,False,False,monthly,True,18
S-9aa190,A-9b9fe9,2024-10-17,,Basic,33,627,7524,False,False,False,False,annual,True,76
S-f89d8c,A-88c6ca,2024-12-18,,Pro,49,2401,28812,False,False,False,False,monthly,True,14
S-766a62,A-1ac5e0,2024-11-24,,Enterprise,33,0,0,True,False,False,False,monthly,False,38
S-10134d,A-52dd88,2024-09-09,,Enterprise,23,4577,54924,False,False,False,False,annual,True,114
S-85de7a,A-940b8b,2024-04-01,,Enterprise,32,6368,76416,False,False,True,False,annual,True,275
S-85796b,A-f19409,2024-08-27,2024-10-31,Enterprise,23,4577,54924,False,False,False,True,monthly,True,65
S-c97464,A-f5641b,2024-10-16,,Pro,38,1862,22344,False,False,False,False,monthly,False,77
S-6732ff,A-9affe6,2023-11-22,,Pro,24,1176,14112,False,False,False,False,annual,True,406
S-aa20eb,A-6f8ad2,2024-09-08,,Pro,1,49,588,False,False,False,False,monthly,False,115
S-b6aabe,A-902ef7,2024-12-25,,Basic,83,1577,18924,False,False,False,False,annual,True,7
S-0ff339,A-6dee43,2024-01-21,,Basic,12,228,2736,False,False,False,False,annual,True,346
S-4d664d,A-cc1d8d,2024-12-26,,Pro,16,784,9408,False,True,True,False,annual,True,6
S-8deb5f,A-533452,2024-12-25,,Basic,52,988,11856,False,False,False,False,annual,False,7
S-e2d4e9,A-18793f,2024-12-30,,Basic,148,0,0,True,True,False,False,monthly,True,2
S-d8441d,A-8adedc,2024-03-16,,Basic,4,76,912,False,False,False,False,annual,True,291
S-6d356a,A-425e76,2023-06-26,,Basic,28,532,6384,False,False,False,False,annual,False,555
S-c005ac,A-92a3af,2024-09-18,,Enterprise,25,4975,59700,False,False,False,False,annual,True,105
S-d0913e,A-eb2fdc,2024-11-14,,Pro,31,1519,18228,False,False,False,False,monthly,True,48
S-4bef15,A-600734,2024-08-14,2024-09-22,Enterprise,29,0,0,True,False,False,True,annual,True,39
S-2573e4,A-7f8241,2024-01-25,,Basic,60,1140,13680,False,False,False,False,monthly,True,342
S-80c291,A-712533,2024-01-06,,Enterprise,18,3582,42984,False,False,False,False,annual,True,361
S-64acb8,A-3be56b,2024-08-21,,Enterprise,30,5970,71640,False,False,False,False,monthly,True,133
S-13a948,A-d5a319,2024-07-24,,Enterprise,15,2985,35820,False,True,False,False,monthly,False,161
S-081b81,A-b20d99,2024-01-30,,Basic,20,380,4560,False,False,False,False,annual,True,337
S-68c537,A-9ee962,2024-06-06,,Enterprise,29,5771,69252,False,False,False,False,monthly,True,209
S-3f82bc,A-d5a319,2023-10-30,,Basic,15,0,0,True,False,True,False,monthly,True,429
S-fe6311,A-5c9849,2024-11-11,,Enterprise,19,0,0,True,False,False,False,monthly,True,51
S-b3c4b8,A-c43359,2024-12-17,,Pro,38,0,0,True,False,False,False,annual,True,15
S-8923b3,A-157070,2024-05-17,,Basic,27,513,6156,False,False,False,False,annual,True,229
S-2410c6,A-5247b3,2024-05-11,,Basic,33,627,7524,False,False,False,False,annual,False,235
S-7a06fe,A-5a92e7,2024-09-28,,Pro,28,1372,16464,False,False,False,False,monthly,True,95
S-ceaca8,A-96e141,2024-08-10,,Enterprise,24,4776,57312,False,False,False,False,monthly,True,144
S-02c3e7,A-7c4956,2024-08-14,,Enterprise,6,1194,14328,False,False,False,False,annual,True,140
S-3a1a06,A-eb7fac,2024-07-09,,Enterprise,14,2786,33432,False,False,False,False,monthly,True,176
S-7f5d03,A-22d9d2,2024-06-10,,Pro,25,1225,14700,False,False,False,False,monthly,False,205
S-c10f0c,A-0f7d77,2024-11-11,,Basic,6,114,1368,False,False,False,False,monthly,False,51
S-cdd00a,A-4e44e8,2024-08-23,,Basic,38,722,8664,False,False,False,False,monthly,True,131
S-d57a67,A-2446e3,2024-07-14,,Pro,27,1323,15876,False,False,False,False,monthly,True,171
S-f75ac4,A-faa28c,2024-02-17,,Enterprise,48,0,0,True,False,False,False,annual,True,319
S-76c59f,A-0aaf6e,2024-08-01,,Basic,24,456,5472,False,False,False,False,annual,True,153
S-0a15fa,A-bb1eaa,2024-12-12,,Pro,25,1225,14700,False,False,False,False,annual,True,20
S-d0f5fb,A-39868b,2024-04-25,,Enterprise,9,1791,21492,False,False,False,False,annual,False,251
S-ffb6cc,A-94d3da,2024-09-28,,Enterprise,41,8159,97908,False,False,False,False,monthly,False,95
S-1b8300,A-faa28c,2024-05-23,,Enterprise,48,0,0,True,True,False,False,monthly,True,223
S-88de1c,A-18793f,2024-12-24,,Basic,148,2812,33744,False,False,False,False,annual,True,8
S-a88ffd,A-cc102e,2024-09-06,,Pro,13,637,7644,False,False,False,False,annual,True,117
S-f12a54,A-f3ff05,2024-11-24,,Pro,2,98,1176,False,False,False,False,monthly,True,38
S-f9b284,A-22d9d2,2024-07-02,,Pro,8,392,4704,False,False,False,False,annual,True,183
S-61e53d,A-d42431,2024-11-15,2024-12-14,Basic,22,418,5016,False,False,False,True,annual,False,29
S-4c5456,A-149a69,2024-12-19,,Basic,34,646,7752,False,False,False,False,monthly,True,13
S-b15cde,A-ee42db,2023-05-01,,Pro,13,637,7644,False,False,False,False,monthly,True,611
S-9e6a18,A-7d514c,2024-11-06,,Pro,21,1029,12348,False,True,False,False,monthly,False,56
S-0b2ac3,A-d792a6,2024-01-01,,Basic,7,0,0,True,False,False,False,annual,True,366
S-cb8a5c,A-1e6fc3,2024-12-17,,Enterprise,1,199,2388,False,False,False,False,annual,True,15
S-8b52b5,A-c1dfe1,2024-03-04,,Enterprise,26,5174,62088,False,False,False,False,monthly,True,303
S-79b2bc,A-249769,2024-08-28,,Basic,4,76,912,False,False,False,False,monthly,True,126
S-4fd9ba,A-d4ac0e,2024-09-10,,Basic,24,456,5472,False,True,False,False,monthly,True,113
S-163e9d,A-ccabf0,2024-03-03,,Enterprise,11,2189,26268,False,False,False,False,annual,True,304
S-8324d4,A-5a215a,2024-07-13,2024-08-03,Pro,87,0,0,True,False,False,True,monthly,True,21
S-22f848,A-993085,2023-10-15,,Enterprise,49,9751,117012,False,False,False,False,annual,True,444
S-b32512,A-854864,2024-12-25,,Enterprise,20,3980,47760,False,False,False,False,monthly,True,7
S-98ac99,A-8ed5dd,2023-11-09,,Basic,5,95,1140,False,True,False,False,annual,True,419
S-93fab3,A-9f9299,2024-11-10,2024-12-31,Pro,28,1372,16464,False,False,False,True,annual,True,51
S-838330,A-5a215a,2024-06-20,,Pro,87,0,0,True,False,False,False,annual,False,195
